Script Name,Script Run Count, Script Last Ran,
/whse/arbitrary_sql2.plex,1340,8/25/2014 7:45:22 PM,
/whse/freightquote.plex,338,8/25/2014 7:46:03 PM,
/ebay/notification.plex,89,8/25/2014 7:46:03 PM,
/dbgateway/email_proxy.plex,74,8/25/2014 7:23:21 PM,
/whse/paypal.plex,45,8/25/2014 7:25:44 PM,
/vendor/wmh/stockupdate.plex,14,8/25/2014 6:59:35 PM,
/dbgateway/order_tracking.plex,8,8/25/2014 6:58:17 PM,
/handheld/handheld.plex,6,8/25/2014 5:08:19 PM,
/dbgateway/alerts.plex,5,8/25/2014 7:44:23 PM,
/whse/vendor-qoh.plex,4,8/25/2014 6:30:40 PM,
/whse/freightquote-statelookup.plex,3,8/25/2014 5:29:33 PM,
/whse/inventory.plex,1,8/25/2014 4:07:17 PM,
